,fore_min_1,fore_max_1,fore_min_2,fore_max_2,fore_min_3,fore_max_3,fore_min_4,fore_max_4,fore_min_5,fore_max_5,fore_min_6,fore_max_6,fore_min_7,fore_max_7
2021/6/1,23,29,25,29,26,33,23,32,22,28,22,31,23,31
2021/6/2,25,30,25,32,24,33,23,29,22,29,24,30,25,30
2021/6/3,25,32,24,33,23,27,23,29,25,29,25,29,25,30
2021/6/4,23,33,23,26,23,28,24,30,25,29,25,29,25,30
2021/6/5,23,27,23,29,24,29,24,29,25,29,25,29,26,31
2021/6/6,23,27,23.5,28.5,24.5,29,24.5,29.5,25.5,30,25.5,30.5,26,31.5
2021/6/7,23,27,24,28,25,29,25,30,26,31,26,32,26,32
2021/6/8,23,28,24,29,25,29,25,30,25,32,26,32,26,32
2021/6/9,24,29,25,30,25,31,25,32,26,31,25,31,25,31
2021/6/10,25,31,25,32,25,32,25,31,25,31,25,31,25,31
2021/6/11,25,32,25,31,25,30,25,31,26,32,26,32,26,33
2021/6/12,25.5,32,25.5,31.5,25.5,31.5,25.5,32,26.5,32.5,26.5,33,26.5,33
2021/6/13,26,32,26,32,26,33,26,33,27,33,27,34,27,33
2021/6/14,26,33,26,33,26,34,27,33,27,34,27,33,27,32
2021/6/15,27,34,27,35,27,35,27,35,26,34,27,33,25,32
2021/6/16,27,35,27,35,28,36,27,35,27,34,27,33,25,30
2021/6/17,27,35,27,36,27,36,27,34,25,33,24,27,23,28
2021/6/18,27,36,27,36,27,35,26,34,23,28,23,27,24,28
2021/6/19,27,36,27,35,26,34,24,28,23,26,23,27,25,29
2021/6/20,28,34,24,34,23,29,23,27,24,28,25,30,25,31
2021/6/21,26,34,23,29,23,26,24,28,25,30,26,31,26,32
2021/6/22,24,28,24,28,24,28,25,30,26,32,26,33,26,32
2021/6/23,23,28,24,28,24,29,26,32,26,33,26,32,26,31
2021/6/24,23,27,23,27,25,29,25,29,26,30,26,30,26,30
2021/6/25,24,30,25,30,26,31,26,31,26,31,26,31,26,31
2021/6/26,25,30,26,32,26,32,26,31,26,31,26,31,26,33
2021/6/27,26,32,26,31,26,31,26,31,26,31,26,33,26,33
2021/6/28,26,32,26,30,26,31,26,32,26,33,26,33,25,33
2021/6/29,26,30,26,31,26,32,26,32,26,33,25,33,26,33
2021/6/30,26,31,26,31,26,32,26,33,25,33,25,33,26,32
2021/7/1,26,31,25,34,26,35,27,35,27,35,27,32,27,33
2021/7/2,26,33,26,35,26,35,27,35,28,35,27,35,27,34
2021/7/3,26,35,26,35,27,36,27,35,27,35,28,35,28,34
2021/7/4,26,34,28,35,29,37,28,36,28,36,28,34,28,33
2021/7/5,26,36,27,36,27,36,28,35,27,35,27,34,27,35
2021/7/6,27,36,27.5,36,27.5,35.5,27.5,34,27,34,26.5,32.5,26.5,33.5
2021/7/7,28,36,28,36,28,35,27,33,27,33,26,31,26,32
2021/7/8,28,36,27,35,27,32,27,31,26,30,26,30,26,31
2021/7/9,27,35,27,32,26,32,26,30,26,31,26,30,26,32
2021/7/10,27,32,26,32,26,30,26,31,26,31,26,31,27,31
2021/7/11,26,31,26,30,26,31,26,31,26,30,26,30,26,29
2021/7/12,26,31.5,26,31.5,26,30.5,26,31,26.5,30.5,26.5,30.5,26.5,30
2021/7/13,26,32,26,33,26,30,26,31,27,31,27,31,27,31
2021/7/14,25,32,26,33,26,32,27,31,27,33,27,33,27,32
2021/7/15,26,32,26,31,26,30,27,31,27,31,27,33,27,32
2021/7/16,26,31,27,31,27,30,27,33,27,34,27,33,27,32
2021/7/17,25,29,25,29,26,30,27,32,27,33,26,32,26,31
2021/7/18,25,30,27,32,26,32,27,31,26,31,26,31,26,31
2021/7/19,27,35,26,33,26,31,26,31,26,32,26,32,26,32
2021/7/20,26.5,33.5,26,32,26,31.5,26.5,31.5,26,32,26,31.5,26,32
2021/7/21,26,32,26,31,26,32,27,32,26,32,26,31,26,32
2021/9/13,23,29,25,29,26,33,23,32,22,28,22,31,23,31
2021/9/14,25,30,25,32,24,33,23,29,22,29,24,30,25,30
2021/9/15,25,32,24,33,23,27,23,29,25,29,25,29,25,30
2021/9/16,23,33,23,26,23,28,24,30,25,29,25,29,25,30
2021/9/17,26,32,26,31,27,33,27,35,26,35,26,32,26,32
2021/9/18,23,29,25,29,26,33,23,32,22,28,22,31,23,31
2021/9/19,25,30,25,32,24,33,23,29,22,29,24,30,25,30
2021/9/20,27,35,26,34,26,32,26,32,25,31,23,32,24,32
2021/9/21,26,34,26,32,26,32,25,31,23,32,24,32,23,33
2021/9/22,26,33,25,32,23,31,23,31,24,32,25,33,24,33
2021/9/23,25,31,24,30,23,31,25,33,26,34,25,33,26,35
2021/9/24,24,31,23,31,25,32,25,34,25,33,26,35,25,35
2021/9/25,23,31,23,32,24,33,25,33,27,35,26,34,27,33
2021/9/26,22,32,24,33,25,34,27,35,26,33,26,31,26,33
2021/9/27,24,33,25,34,27,35,25,33,26,31,26,33,26,33
2021/9/28,25,33,26,35,25,33,25,31,26,32,24,33,26,32
2021/9/29,26,35,25,32,25,31,24,32,25,33,25,32,25,32
2021/9/30,25,33,25,30,23,31,23,32,26,32,24,31,26,32
2021/10/1,25,30,23,31,24,32,26,32,25,32,24,31,25,31
2021/10/2,23,32,24,31,25,32,25,31,24,30,25,30,24,29
2021/10/3,24,31,24,32,25,31,25,31,25,30,26,29,25,29
2021/10/4,24,31,24,32,25,31,25,31,25,30,26,29,25,29
2021/10/5,24,31,25,30,25,29,26,29,26,28,25,28,26,29
2021/10/6,25,31,25,29,26,29,25,30,25,31,24,30,24,29
2021/10/7,25,29,26,29,25,29,25,31,24,30,24,29,24,27
2021/10/8,26,29,25,29,25,31,24,30,24,28,26,28,24,28
2021/10/9,25,29,25,32,25,32,25,26,25,27,25,28,23,27
2021/10/10,25,31,24,31,25,27,25,27,25,28,23,27,21,25
2021/10/11,24,31,25,27,25,27,25,28,23,27,20,26,23,25
2021/10/12,25,25,25,26,25,27,24,29,18,29,17,24,18,23
2021/10/13,25,28,24,27,23,29,18,29,17,23,19,23,17,25
2021/10/14,24,27,23,29,19,29,17,24,19,23,18,25,19,23
2021/10/15,23,29,18,29,17,21,18,22,19,24,18,20,18,19
2021/10/16,18,29,17,22,18,22,20,24,19,20,18,20,17,19
2021/10/17,17,24,19,22,19,24,18,22,18,20,18,19,18,19
2021/10/18,19,23,19,25,18,23,17,20,16,19,17,18,16,23
2021/10/19,19,24,18,21,17,20,15,19,17,17,17,21,17,23
2021/10/20,18,21,17,20,16,19,17,17,18,21,18,24,18,23
2021/10/21,16,18,15,20,16,19,17,23,17,25,18,24,19,25
2021/10/22,16,20,18,19,17,23,17,25,18,24,19,25,18,23
2021/10/23,18,18,17,23,17,25,18,24,18,24,17,24,18,24
2021/10/24,16,21,18,25,19,25,19,24,17,24,17,24,17,23
2021/10/25,18,25,19,24,19,24,17,24,18,24,17,24,18,24
2021/10/26,19,23,19,24,18,24,18,24,17,24,17,24,17,24
2021/10/27,19,23,18,23,18,23,17,23,18,24,18,22,18,23
2021/10/28,18,23,18,23,17,23,17,24,17,22,17,23,17,22
2021/10/29,18,23,17,24,17,24,18,23,18,23,19,23,18,23
2021/10/30,17,23,17,24,18,24,18,23,19,23,20,23,19,25
2021/10/31,18,24,19,23,18,22,20,23,20,22,21,25,20,25
2021/11/1,18,22,18,21,20,23,20,22,21,25,17,26,21,22
2021/11/2,18,21,19,23,20,21,21,24,20,27,13,23,16,20
2021/11/3,19,22,20,22,21,25,20,27,14,24,12,21,14,19
2021/11/4,20,21,21,25,20,28,15,24,13,21,11,17,13,19
2021/11/5,21,26,21,26,14,23,12,21,11,18,10,19,11,18
2021/11/6,21,26,14,25,11,22,11,18,11,20,12,19,11,19
2021/11/7,14,23,11,21,11,17,10,19,11,19,12,19,11,20
2021/11/8,10,22,11,18,10,19,12,20,11,20,13,20,11,21
2021/11/9,11,18,10,19,13,20,12,20,12,20,14,21,12,21
2021/11/10,10,20,13,20,13,20,12,20,15,22,14,21,15,22
2021/11/11,13,21,13,20,12,19,14,22,16,21,15,22,16,20
2021/11/12,14,20,12,19,14,22,17,21,18,22,17,20,18,21
2021/11/13,13,20,13,22,16,21,18,22,17,20,14,20,17,21
2021/11/14,13,21,15,20,17,21,17,19,15,19,14,22,15,22
2021/11/15,15,21,17,21,17,19,14,20,14,22,16,23,14,21
2021/11/16,17,21,17,19,16,21,17,23,17,23,13,21,17,18
2021/11/17,16,18,16,21,16,23,17,23,15,24,9,15,8,17
2021/11/18,16,20,15,23,17,23,13,24,9,20,8,17,9,17
2021/11/19,15,22,16,23,12,24,8,20,8,17,9,17,8,19
2021/11/20,17,21,16,25,8,15,8,17,9,17,12,20,11,20
2021/11/21,12,24,9,20,9,17,10,17,13,20,11,20,13,19
