date,tem_max,tem_mean,tem_min
2021/6/1,28.2,27.903125,27.6
2021/6/2,28.3,27.90707071,27.6
2021/6/3,29,28.11875,27.4
2021/6/4,29.3,28.21666667,27.5
2021/6/5,28.1,27.61666667,27.3
2021/6/6,27.6,27.30833333,27
2021/6/7,27.4,26.98333333,26.7
2021/6/8,27.8,27.09583333,26.5
2021/6/9,28.3,27.32083333,26.8
2021/6/10,28.9,27.79375,27.1
2021/6/11,29.2,28.27083333,27.6
2021/6/12,29.6,28.73829787,28
2021/6/13,29.6,28.94987593,28.2
2021/6/14,29.9,29.12291667,28.2
2021/6/15,30.2,29.03101604,28.6
2021/6/16,30.5,29.61290323,28.7
2021/6/17,30.6,29.82083333,29.1
2021/6/18,30.9,29.9,29
2021/6/19,31.5,30.18125,29.2
2021/6/20,31.4,30.28076923,29.5
2021/6/21,31.3,30.23958333,29.2
2021/6/22,30.6,29.69791667,28.4
2021/6/23,29.7,29.19791667,28.1
2021/6/24,29,28.6375,28
2021/6/25,28.7,28.30833333,27.5
2021/6/26,28.8,28.30416667,27.6
2021/6/27,29.6,28.62708333,27.6
2021/6/28,29.3,28.68333333,27.8
2021/6/29,29,28.53125,27.6
2021/6/30,29.4,28.63958333,27.8
2021/7/1,29.5,28.82083333,28
2021/7/2,30.2,29.14791667,28.2
2021/7/3,30.4,29.35208333,28.4
2021/7/4,30.7,29.62291667,28.8
2021/7/5,31.2,29.67083333,28.7
2021/7/6,30.5,29.70208333,29.2
2021/7/7,30.7,29.74791667,28.9
2021/7/8,30.8,29.86666667,29.1
2021/7/9,31,29.91875,29.1
2021/7/10,31.1,29.95,28.6
2021/7/11,30.9,29.98125,28.4
2021/7/12,31,29.984,28.5
2021/7/13,30.9,29.78452381,28.1
2021/7/14,30.9,30.066,28.4
2021/7/15,31.4,30.12857143,28.1
2021/7/16,31.4,30.26129032,28.5
2021/7/17,31.6,30.04705882,28.7
2021/7/18,31.5,30.17291667,29.1
2021/7/19,31.3,29.835,29.1
2021/7/20,30.6,29.8375,29.1
2021/7/21,30.5,29.66875,29
2021/7/22,30.8,29.78958333,28.9
2021/7/23,30.7,29.95,29.1
2021/7/24,31,30.20208333,29.1
2021/7/25,31.6,30.50416667,29.3
2021/7/26,31.6,30.69791667,29.3
2021/7/27,31.6,30.825,29.1
2021/7/28,32.1,30.87083333,29.1
2021/7/29,31.9,30.89782609,29.1
2021/7/30,32.1,30.89583333,29.7
2021/7/31,32.2,30.97083333,30.1
2021/8/1,32.8,30.87083333,29.9
2021/8/2,32.3,30.84583333,29.6
2021/8/3,31.1,30.34571429,29.6
2021/8/4,31.2,30.45833333,29.7
2021/8/5,30,29.47708333,28.9
2021/8/6,29.3,28.646,27.9
2021/8/7,29.9,28.63404255,27.7
2021/8/8,30.2,29.09166667,28
