TIMESTAMP,tem_max,tem_mean,tem_min
2008/1/1,16.62,15.90729167,14.86
2008/1/2,15.98,15.2,14.1
2008/1/3,15.4,14.6775,13.81
2008/1/4,16.25,14.864375,14.08
2008/1/5,15.87,14.99270833,14.61
2008/1/6,15.82,15.02041667,14.64
2008/1/7,16.31,15.309375,14.97
2008/1/8,15.95,15.52916667,15.19
2008/1/9,16.18,15.705,15.29
2008/1/10,16.22,15.83895833,15.44
2008/1/11,16.55,16.07104167,15.57
2008/1/12,16.78,16.305625,15.74
2008/1/13,16.47,16.16729167,15.91
2008/1/14,16.16,15.769375,15.46
2008/1/15,15.72,15.425,15.07
2008/1/16,15.54,15.265625,15
2008/1/17,15.21,14.904375,14.57
2008/1/18,14.92,14.70729167,14.5
2008/1/19,15.11,14.71625,14.47
2008/1/20,16.56,15.144375,14.65
2008/1/21,15.64,15.24645833,14.72
2008/1/22,15.5,15.129375,14.71
2008/1/23,15.42,15.10979167,14.83
2008/1/24,15.01,14.74395833,14.45
2008/1/25,14.63,14.29541667,14.03
2008/1/26,14.36,14.15395833,13.86
2008/1/27,14.13,13.885625,13.68
2008/1/28,14.1,13.89708333,13.65
2008/1/29,14.05,13.91708333,13.74
2008/1/30,13.93,13.618125,13.41
2008/1/31,13.51,13.238125,12.74
2008/2/1,13.18,12.845,12.54
2008/2/2,13.04,12.89333333,12.72
2008/2/3,13.94,13.00729167,12.62
2008/2/4,12.95,12.735625,12.48
2008/2/5,13.62,12.87916667,12.57
2008/2/6,13.09,12.70958333,12.27
2008/2/7,12.38,12.23125,12.08
2008/2/8,12.16,12.04583333,11.89
2008/2/9,12.23,11.97395833,11.8
2008/2/10,11.97,11.73729167,11.4
2008/2/11,11.95,11.73729167,11.45
2008/2/12,11.73,11.48520833,11.12
2008/2/13,11.39,11.14083333,10.76
2008/2/14,11.71,11.12,10.68
2008/2/15,11.61,11.14645833,10.9
2008/2/16,11.6,11.106875,10.71
2008/2/17,12.19,11.43583333,10.96
2008/2/18,12.25,11.64416667,11
2008/2/19,13.12,11.90354167,11.3
2008/2/20,13.57,12.14708333,11.34
2008/2/21,13.91,12.44416667,11.53
2008/2/22,13.29,12.66083333,12.02
2008/2/23,13.26,12.781875,12.15
2008/2/24,13.42,12.77458333,12.09
2008/2/25,13.41,12.888125,12.25
2008/2/26,13.46,13.08166667,12.55
2008/2/27,13.2,12.78291667,12.44
2008/2/28,13.44,12.773125,12.23
2008/2/29,13.5,12.990625,12.65
2008/3/1,14.36,13.3675,12.6
2008/3/2,15.06,13.85333333,12.93
2008/3/3,15.34,14.15229167,12.96
2008/3/4,15.03,13.96645833,13.17
2008/3/5,15.51,13.87979167,13.27
2008/3/6,15.75,14.03166667,13.38
2008/3/7,14.99,14.26770833,13.61
2008/3/8,15.12,14.43583333,13.68
2008/3/9,15.35,14.68395833,13.98
2008/3/10,15.9,14.939375,14.18
2008/3/11,15.97,15.22604167,14.36
2008/3/12,16.84,15.70625,14.67
2008/3/13,17.45,15.99659574,15.07
2008/3/14,16.67,16.016875,15.17
2008/3/15,16.96,16.03770833,15.24
2008/3/16,17.51,16.56166667,15.44
2008/3/17,17.2,16.48125,15.59
2008/3/18,17.36,16.42869565,15.62
2008/3/19,17.11,16.57895833,15.77
2008/3/20,16.96,16.38895833,15.83
2008/3/21,17.35,16.578125,15.93
2008/3/22,17.18,16.73645833,16.23
2008/3/23,17.21,16.82479167,16.22
2008/3/24,17.53,16.90916667,16.27
2008/3/25,17.48,17.08791667,16.54
2008/3/26,18.05,17.38958333,16.67
2008/3/27,19.02,17.84520833,16.87
2008/3/28,18.53,17.88895833,17.1
2008/3/29,18.46,17.89645833,17.21
2008/3/30,18.83,18.0425,17.28
2008/3/31,18.51,17.47541667,16.81
2008/4/1,16.82,16.640625,16.36
2008/4/2,17.12,16.78833333,16.35
2008/4/3,17.06,16.83541667,16.44
2008/4/4,17.53,16.94666667,16.61
2008/4/5,19.23,17.55395833,16.72
2008/4/6,19.44,18.13958333,17.23
2008/4/7,19.74,18.72166667,17.62
2008/4/8,19.86,19.12083333,17.94
2008/4/9,21.29,19.78708333,18.44
2008/4/10,20.98,20.04666667,18.92
2008/4/11,20.34,19.85354167,18.97
2008/4/12,20.18,19.84770833,19.29
2008/4/13,20.63,19.78770833,19.18
2008/4/14,20.82,19.91833333,19.13
2008/4/15,21.87,20.34541667,19.45
2008/4/16,20.99,20.71470588,19.78
2008/4/17,22.15,21.27107143,20.19
2008/4/18,21.41,20.96604167,20.33
2008/4/19,21.36,20.91354167,20.34
2008/4/20,21.32,21.02104167,20.42
2008/4/21,21.84,21.26416667,20.71
2008/4/22,22.14,21.57145833,20.85
2008/4/23,21.8,21.458125,21.04
2008/4/24,21.61,21.18145833,20.78
2008/4/25,21.47,21.08395833,20.72
2008/4/26,22.18,21.54208333,20.87
2008/4/27,22.88,22.009375,21.12
2008/4/28,22.78,22.144375,21.38
2008/4/29,22.58,22.116875,21.35
2008/4/30,22.96,22.15645833,21.5
2008/5/1,23.98,22.57916667,21.68
2008/5/2,24.08,22.80479167,21.95
2008/5/3,23.86,23.06145833,22.34
2008/5/4,25.77,23.67479167,22.77
2008/5/5,24.33,23.41395833,22.52
2008/5/6,22.97,22.72791667,22.48
2008/5/7,23.45,22.85541667,22.28
2008/5/8,24.55,23.42291667,22.5
2008/5/9,24.75,23.93166667,23.12
2008/5/10,24.44,23.705625,23.25
2008/5/11,23.63,23.278125,22.87
2008/5/12,23.88,23.185625,22.73
2008/5/13,23.74,23.14125,22.6
2008/5/14,23.93,23.05375,22.6
2008/5/15,24.09,22.97833333,22.53
2008/5/16,24.21,23.14416667,22.52
2008/5/17,25.13,23.45604167,22.82
2008/5/18,24.68,23.8375,23.2
2008/5/19,24.2,23.670625,23.06
2008/5/20,23.89,23.36541667,23
2008/5/21,23.36,23.20770833,23.05
